".scenario.id",".at","mh.scrninterv.start","mh.txinterv.start","mdd.diag.gen.prob_1","mdd.diag.gen.prob_2","mddscrnuptk.pstat.prob","mddscrnuptk.pind.prob","mdd.txinit.prob.reg_1","mdd.txinit.prob.reg_2","mdd.txinit.prob.reg_3","mdd.txinit.prob.prep_1","mdd.txinit.prob.prep_2","mdd.txinit.prob.prep_3","prep.start.prob_1","prep.start.prob_2","prep.start.prob_3","tx.init.rate_1","tx.init.rate_2","tx.init.rate_3","tx.reinit.partial.rate_1","tx.reinit.partial.rate_2","tx.reinit.partial.rate_3"
"c074_0.929_0.286_max",3901,3901,Inf,0.929,0.929,0,0.929,0.286,0.286,0.286,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c075_1_0.286_max",3901,3901,Inf,1,1,0,1,0.286,0.286,0.286,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c076_0_0.357_max",3901,3901,Inf,0,0,0,0,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c077_0.071_0.357_max",3901,3901,Inf,0.071,0.071,0,0.071,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c078_0.143_0.357_max",3901,3901,Inf,0.143,0.143,0,0.143,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c079_0.214_0.357_max",3901,3901,Inf,0.214,0.214,0,0.214,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c080_0.286_0.357_max",3901,3901,Inf,0.286,0.286,0,0.286,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c081_0.357_0.357_max",3901,3901,Inf,0.357,0.357,0,0.357,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c082_0.429_0.357_max",3901,3901,Inf,0.429,0.429,0,0.429,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c083_0.5_0.357_max",3901,3901,Inf,0.5,0.5,0,0.5,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"c084_0.571_0.357_max",3901,3901,Inf,0.571,0.571,0,0.571,0.357,0.357,0.357,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
